Accueil ,rez,1
Architecture,C,850
Archives,B,720
Association des patients ,rez,36
Bénévoles - accueil,rez,8
Biomédical,B,880
Caisse principale,rez,71
Centrale des lits,A,805
Couloir vestiaires 1,A,750
Couloir vestiaires 2,A,752
Direction,A,605
HelpDesk informatique,A,680
Hospitalisation (admissions),rez,5
Informatique,A,655
Inscriptions (consultations),rez,10
Lingerie,B,707
Magasin - MMM,B,705
Magasin diabétologie,rez,36
Médecine du travail - SPMT,B,701
Pharmacie,A,770
Poste vigiles,rez,3
Prise de rendez-vous ,rez,11
Relations patients,rez,4
Restaurant – Mess,B,725
Salle de recueillement,rez,35
Salle des défunts,A,789
Service du personnel - Accueil,A,780
Service technique,C,845
Stérilisation,B,715
Stock entretien,B,890
Zone tampon (US32),B,390
Anesthésie,A,163
Bloc opératoire,A,131
Cardiologie,A,347
Gestion des lits,A,701
Chirurgie digestive,B,468
Chirurgie de la main,B,495
Chirurgie plastique,rez,29
Chirurgie orthopédique,B,397
Chirurgie vasculaire,B,entre 373 et 397
CIRICU,B,789
"Comité d’éthique, conv. diabéte et muco.",B,495
CRMN,A,705
Dermatologie,rez,29
Diabéto-endocrinologie,rez,29
Conv. diabète,B,495
Gastro-entérologie,B,152
Gériatrie et hôpital de jour gériatrique,B,299
Gynécologie,A,447
Hématologie et Oncologie,B,273
Médecine nucléaire,A,830
Néonatologie,B,459
Néphrologie,rez,29
Neurologie,rez,42
Neurochirurgie,B,373
ONE,B,462
Ophtalmologie,rez,22
ORL,rez,98
Pédiatrie ,B,590
Pédopsychiatrie,A,501
Physiothérapie,rez,84
Bloc d’accouchement,A,443
Bloc d’accouchement - salle d’attente,A,442
Bloc opératoire,A,131
Bloc opératoire - Entrée vestiaires visiteurs,A,163
Ecole,A,537
Espace bien-être,B,270
Polysomnographie adulte,A,320
Polysomnographie enfant,A,513
Salle d’hospitalisation (US 12),B,181
Salle d’hospitalisation (US 14),B,185
Salle d’hospitalisation (US 21),A,240
Salle d’hospitalisation (US 22),B,290
Salle d’hospitalisation (US 23),A,247
Salle d’hospitalisation (US 24),B,297
Salle d’hospitalisation (US 25),A,220
Salle d’hospitalisation (US 26),B,273
Salle d’hospitalisation (US 27),A,215
Salle d’hospitalisation (US 28),B,265
Salle d’hospitalisation (US 29),A,210
Salle d’hospitalisation (US 31),A,340
Salle d’hospitalisation (US 33),A,347
Salle d’hospitalisation (US 34),B,397
Salle d’hospitalisation (US 35),A,322
Salle d’hospitalisation (US 36),B,373
Salle d’hospitalisation (US 37),A,315
Salle d’hospitalisation (US 38),B,365
Salle d’hospitalisation (US 40),A,435
Salle d’hospitalisation (US 41),A,440
Salle d’hospitalisation (US 42),B,490
Salle d’hospitalisation (US 43),A,447
Salle d’hospitalisation (US 51),A,540
Salle d’hospitalisation (US 53),A,548
Salle d’hospitalisation (US 55),A,523
Salle d’hospitalisation (US 56),B,570
Salle d’hospitalisation (US 57),A,515
Salle d’hospitalisation (US 59),A,510
Salle de réveil pédiatrique,B,180
Soins intensifs - Salle d’attente 30,A,334
Soins intensifs - entrée 30,A,335
Soins intensifs - Salle d’attente 39,A,308
Soins intensifs - entrée 39,A,310
Salle d’hospitalisation (US 51),A,540
Salle d’hospitalisation (US 53),A,548
Salle d’hospitalisation (US 55),A,523
Salle d’hospitalisation (US 56),B,570
Salle d’hospitalisation (US 57),A,515
Salle d’hospitalisation (US 59),A,510
Salle de réveil pédiatrique,B,180
Soins intensifs - Salle d’attente 30,A,334
Soins intensifs - entrée 30,A,335
Soins intensifs - Salle d’attente 39,A,308
Soins intensifs - entrée 39,A,310
Salle d’hospitalisation (US 51),A,540
Salle d’hospitalisation (US 53),A,548
Salle d’hospitalisation (US 55),A,523
Salle d’hospitalisation (US 56),B,570
Salle d’hospitalisation (US 57),A,515
Salle d’hospitalisation (US 59),A,510
Salle de réveil pédiatrique,B,180
